SampleID,Date,TimeLocal,Location,Site,Latitude,Longitude,Elevation,Color,SnowDepth,SnowDensity,CellDensity,CellLength,Astaxanthin,Lutein,ChlB,ChlA,BetaC,Pheophorbide,Pheophytin,F,Fo,Cl,NO2,NO3,PO43,SO42,WildlifeScoringIndex,OceanicInfluenceScoringIndex,RocksDustScoringIndex
2025-02-16-PC-algae1,2/16/2025,10:30:00,Antarctic Peninsula,"Pendulum Cove, Deception Island",-62.93738,-60.5945,21,clean,2,197.33,0,0,0,0,0,1.270695214,0,0.977963083,6.529570671,0,0.220216648,4.338411981,0,0.313604342,0,0.953294168,1,2,3
2025-02-16-PC-algae2,2/16/2025,10:53:00,Antarctic Peninsula,"Pendulum Cove, Deception Island",-62.9371,-60.59389,30.2,clean,20,197.33,0,0,0,0,0,0,0,1.095005495,10.22844888,0,0.172490125,8.215371473,0,0.308184183,0,1.189939348,1,2,2
2025-02-16-PC-algae3,2/16/2025,11:15:00,Antarctic Peninsula,"Pendulum Cove, Deception Island",-62.93453,-60.5951,25.6,clean,5,197.33,0,0,0,0,0,0.480840569,0,1.128617675,13.94829881,0.041922862,0.312192261,2.041945944,0,0.317110155,0,0.754084732,1,2,3
2025-02-19-SI-algae1,2/19/2025,13:51:00,Antarctic Peninsula,Stonington Island,-68.18545,-66.99881,6,green,130,917,446673,16.623,76.99432228,1812.249361,2061.750381,4036.058251,942.5293725,218.8453814,1282.178181,0,0,29.11465818,0,0.337188467,6.998629841,1.45662732,3,4,2
2025-02-19-SI-algae2,2/19/2025,14:10:00,Antarctic Peninsula,Stonington Island,-68.18539,-66.99913,7,red,130,374,183820,18.819,12.53037278,152.1658511,117.9205068,225.6904663,18.63790508,23.04868639,79.94782447,0,0.149729898,2.504842593,0,0.486709852,0.078403396,0.712856638,3,4,2
2025-02-19-SI-algae3,2/19/2025,14:33:00,Antarctic Peninsula,Stonington Island,-68.18518,-67.0023,5,green,6,917,0,0,0,988.4859289,1198.121696,2605.556774,387.3926886,35.78336623,881.2082309,0,0,84.93990683,0,0.366301528,0.268067655,6.989878605,4,4,4
2025-02-19-SI-algae4,2/19/2025,14:47:00,Antarctic Peninsula,Stonington Island,-68.18455,-67.00294,8,red,80,374,19998,15.35,0.158747183,99.1759623,59.08109628,123.9069968,171.7392345,9.882668173,48.67601806,0,0.222435916,3.483145935,0.076377474,0.320043445,0.076321545,0.755504483,3,3,4
2025-02-19-SI-algae5,2/19/2025,15:10:00,Antarctic Peninsula,Stonington Island,-68.18422,-66.99993,9,clean,20,374,0,0,0,0,19.90166404,31.33903024,13.87958174,2.848652128,26.51156944,0,0.19147835,4.7551576,0.158661152,0.486959936,0,0.936612542,1,2,2
2025-02-19-SI-algae6,2/19/2025,15:36:00,Antarctic Peninsula,Stonington Island,-68.1855,-66.99638,12,green,35,917,13433,15.275,0,378.4915106,762.9400321,1261.888134,494.0537777,35.93122587,430.3803369,0,0.237193955,21.59148363,0.206289109,0.507441838,0.194738853,2.476759957,3,1,4
2025-02-19-SI-algae7,2/19/2025,16:00:00,Antarctic Peninsula,Stonington Island,-68.18575,-66.99792,6,green,50,917,1151400,13.608,0,2784.106786,3486.686562,7298.221851,4016.800178,416.9140469,3700.514116,0,0.009885021,29.41403501,0.214590337,0.369023499,6.414520524,2.44065421,4,4,4
2025-02-21-HI-algae1,2/21/2025,13:15:00,Antarctic Peninsula,Horseshoe Island,-67.8087,-67.29562,14,red,9,496,488335,21.632,135.6653422,595.6811221,537.5574589,1246.044005,161.0699226,16.1284571,341.0397166,0,0.565551112,1.317665964,0,0.311247473,0.130211769,0.707781435,4,4,4
2025-02-21-HI-algae2,2/21/2025,13:32:00,Antarctic Peninsula,Horseshoe Island,-67.80874,-67.29564,14,green,55,496,4316488,12.115,6.664658668,2339.336955,3724.0762,7373.967235,1139.104091,177.3508418,1731.573578,0,0,6.505032079,0.171842214,0.683366845,5.656862126,1.759675797,4,4,4
2025-02-21-HI-algae3,2/21/2025,13:45:00,Antarctic Peninsula,Horseshoe Island,-67.80849,-67.29615,15,red,4,496,3109538,12.852,319.4438763,1185.320419,1383.854518,3734.26742,333.1305476,34.43460233,851.7051165,0,0.682130272,1.999905793,0.076923788,0.364097049,0.464400371,0.689561292,1,3,4
2025-02-21-HI-algae4,2/21/2025,14:20:00,Antarctic Peninsula,Horseshoe Island,-67.80883,-67.29847,14,green,12,496,245598,12.627,41.37057724,1276.240291,1461.598598,3306.642566,596.283649,88.81183535,878.3726292,0.109851826,0.775782429,1.371792525,0.072673505,0.309658676,0.237007204,0.648351738,4,3,4
2025-02-21-HI-algae5,2/21/2025,14:45:00,Antarctic Peninsula,Horseshoe Island,-67.80999,-67.29809,15,green,47,496,2983288,12.213,0,663.1703977,1066.787155,1714.302954,215.5368463,30.43269062,519.6201068,0.188596813,0.84099424,3.616952876,0,0.328692652,0.975800884,1.105584265,4,4,4
2025-02-21-HI-algae6,2/21/2025,14:57:00,Antarctic Peninsula,Horseshoe Island,-67.81003,-67.29809,15,red,47,496,2931525,9.64,78.8249392,510.3367749,467.5662759,1032.275835,212.8175823,16.17218822,326.2171293,0,0.675781871,5.39609671,0,0.204106335,0,0.718662256,4,4,4
2025-02-21-HI-algae7,2/21/2025,15:03:00,Antarctic Peninsula,Horseshoe Island,-67.81004,-67.29818,15,clean,27,496,118,0,0,0,0,0.090762222,0,0.655497003,5.859276518,0,0.546570798,16.45840127,0,0.187270363,0,1.791219319,4,4,4
2025-02-21-HI-algae8,2/21/2025,15:14:00,Antarctic Peninsula,Horseshoe Island,-67.81032,-67.29829,15,red,10,496,1082720,13.82,90.1257725,401.7714619,327.1019698,850.2126245,142.6536123,5.416168889,275.5693589,0,0.691082413,1.175989315,0,0.19601099,0.102694608,0.370379094,4,4,4
2025-02-21-HI-algae9,2/21/2025,15:24:00,Antarctic Peninsula,Horseshoe Island,-67.81031,-67.29822,15,clean,10,496,303,,0,0,0,1.19971552,0,1.03937672,5.994566791,0,0.580093228,5.067169781,0,0.228861666,0.11683713,0.656737017,4,4,4
2025-02-23-DP-algae1,2/23/2025,13:19:00,Antarctic Peninsula,Damoy Point,-64.81563,-63.50404,,red,25,460,427230,18.004,180.4763292,1402.94903,1380.713259,2953.373763,1915.215948,100.925147,996.1117849,0,0.637871947,1.181647078,0,0.103397503,0.383488202,0.392602051,4,3,2
2025-02-23-DP-algae2,2/23/2025,13:32:00,Antarctic Peninsula,Damoy Point,-64.81464,-63.50422,,red,55,460,243073,18.186,60.83639077,309.0586174,238.0375744,542.4156723,629.6455709,26.74300352,176.3732438,0,0,1.036535091,0,0.235793549,0,0.346561694,4,3,1
2025-02-23-DP-algae3,2/23/2025,13:45:00,Antarctic Peninsula,Damoy Point,-64.8152,-63.50433,,green,25,460,86052,18.255,71.12693383,1427.54478,1067.01737,2422.174457,1139.735838,48.1329107,697.5224803,0.635736766,0,1.464200759,0,0.102361143,13.69310727,0.65682964,4,2,4
2025-02-23-DP-algae4,2/23/2025,14:00:00,Antarctic Peninsula,Damoy Point,-64.8152,-63.50451,,clean,25,460,3165,15.47,3.4275052,0,4.510092667,16.12277619,4.108473082,1.862467822,12.39691167,0.133430575,0.660128941,1.08416688,0,0.211047996,4.615785851,0.554672842,4,2,3
2025-02-23-DP-algae5,2/23/2025,14:12:00,Antarctic Peninsula,Damoy Point,-64.81529,-63.50492,,red,30,460,304347,19.321,443.6969222,2552.546511,1867.376845,4758.193903,3066.860943,149.5234677,904.1159212,0.58473446,0,2.765718717,1.041550151,1.132137934,14.06807232,1.906614622,4,1,4
2025-02-23-DP-algae6,2/23/2025,14:18:00,Antarctic Peninsula,Damoy Point,-64.81529,-63.50492,,green,30,917,288692,18.346,393.1930566,2853.689759,3024.457585,6811.741633,2385.334111,192.7331521,1650.515,0.716543802,0,2.670613873,0,0.868217949,18.88534878,1.240666888,4,1,4
2025-02-23-DP-algae7,2/23/2025,14:36:00,Antarctic Peninsula,Damoy Point,-64.8154,-63.50492,,red,12,460,267776,13.733,153.4327696,1535.967354,1520.422871,2629.271794,2932.402845,85.21787771,1053.398527,0,0,1.641581271,0,0,2.296761739,0.44775918,4,1,3
2025-02-23-DP-algae8,2/23/2025,14:41:00,Antarctic Peninsula,Damoy Point,-64.8154,-63.50499,,green,,1000,1247855,14.354,646.9435656,7696.086645,11939.08301,22113.39871,10272.94038,735.1465901,6864.380656,0.200295337,0,1.850640722,0.197517582,0.809243164,20.87430901,6.235215349,4,1,3
2025-02-23-DP-algae9,2/23/2025,14:58:00,Antarctic Peninsula,Damoy Point,-64.81598,-63.50537,,clean,10,460,34,0,0.090709714,0,0,2.892788572,0,0.814919816,8.448542901,0,0,4.282843939,0,1.203099305,0.187442193,0.88488786,1,2,1
2025-02-23-DP-algae10,2/23/2025,15:03:00,Antarctic Peninsula,Damoy Point,-64.81611,-63.5056,,red,10,460,56223,16.967,255.0791831,135.2586324,321.5788354,438.1126734,42.84647237,19.04006287,163.2286954,0,0,0.935335963,0.068644299,0.273982461,0,0.352019848,2,2,1
2025-02-23-DP-algae11,2/23/2025,15:12:00,Antarctic Peninsula,Damoy Point,-64.81671,-63.50529,,green,5,460,76962,18.289,101.967265,621.6802397,1324.96193,2708.304545,506.0938867,228.851651,802.5274845,0,0,0.838396179,0.094634279,0.25936309,0.38669814,0.604849072,1,2,1
2025-02-24-DA-algae1,2/24/2025,13:16:00,Antarctic Peninsula,Danco Island,-64.7295,-62.60036,,green,7,398,76003,15.288,0,252.0487062,962.8442633,1956.915466,1202.056989,33.72748392,881.7715952,,0,5.656610037,1.129380753,16.04787077,7.431622101,2.647205811,4,1,4
2025-02-24-DA-algae2,2/24/2025,13:32:00,Antarctic Peninsula,Danco Island,-64.72946,-62.59961,,red,56,398,22058,,133.651302,516.1436483,648.5879618,1464.480983,1176.158365,32.26939715,739.5932644,1.032788266,0.570430235,0.707291038,0,0.192371351,74.55263811,2.47340113,4,1,4
2025-02-24-DA-algae3,2/24/2025,13:47:00,Antarctic Peninsula,Danco Island,-64.73044,-62.59956,,red,75,917,42117,9.722,0,0,91.6772458,229.5417381,414.0033375,12.7248013,109.3793029,0,0.147,0.271,0.073,0.204,0,0.5,3,2,1
2025-02-24-DA-algae4,2/24/2025,14:08:00,Antarctic Peninsula,Danco Island,-64.72988,-62.59895,,green,25,398,147334,17.392,80.65373917,5638.023321,12524.71163,28636.70409,16100.32498,617.8822403,12257.84919,0.236,0,0.839,0,0.213,24.721,1.176,4,1,3
2025-02-24-DA-algae5,2/24/2025,14:15:00,Antarctic Peninsula,Danco Island,-64.73,-62.59862,,red,40,398,134078,16.241,302.1430986,3975.29736,3224.74872,6239.248735,5471.696855,233.7507217,2002.262426,0,0.516,1.212,0,0.364,0.857,0.716,4,1,3
2025-02-24-DA-algae6,2/24/2025,14:26:00,Antarctic Peninsula,Danco Island,-64.73023,-62.59771,,green,15,398,28179,11.815,7.733880857,2154.159789,2882.183491,4717.094281,2306.929165,140.0260359,1505.936705,,0.836,9.375,1.005,40.066,9.791,7.764,2,1,4
2025-02-24-DA-algae7,2/24/2025,14:43:00,Antarctic Peninsula,Danco Island,-64.73031,-62.59599,,clean,,398,2306,,0,0,0.566198167,20.23604113,4.531001551,1.602062593,11.78381526,,0,0.505,0,0.192,0,0.52,2,1,1
2025-02-25-OH-algae1,2/25/2025,13:33:00,Antarctic Peninsula,Orne Harbour,-64.63165,-62.55229,11,green,30,322,107313,11.818,36.6126031,2941.403973,3678.170282,6107.448203,2813.328405,111.948448,1975.059335,,0.252,4.893,0,0.231,10.811,1.204,4,4,4
2025-02-25-OH-algae2,2/25/2025,13:44:00,Antarctic Peninsula,Orne Harbour,-64.63128,-62.55244,22,green,23,322,31285,10.966,26.77476545,2944.264343,3994.007694,6433.222081,2418.044747,165.9015061,2098.278738,,0.662,2.203,0,3.71,3.887,1.424,1,4,4
2025-02-25-OH-algae3,2/25/2025,13:56:00,Antarctic Peninsula,Orne Harbour,-64.63131,-62.55249,21,red,40,322,30603,16.506,125.1196184,0,121.2657982,237.3694768,90.82221111,15.98139589,94.03869689,0,0.14,0.846,0.103,0.194,0,0.537,2,4,4
2025-02-25-OH-algae4,2/25/2025,14:09:00,Antarctic Peninsula,Orne Harbour,-64.63137,-62.55247,19,clean,50,322,118,0,0,0,0,5.883428965,0,0.839556897,7.476467355,0,0.177102184,0.840744095,0.08773923,0.184532874,0.150476368,0.527932219,1,4,4
2025-03-04-PI-algae1,3/4/2025,13:35:00,Antarctic Peninsula,Pléneau Island,-65.09992,-64.05026,15,red,15,917,185941,21.184,394.4006465,2519.392096,2630.974756,4311.473898,2723.106995,189.5102671,1303.395811,0,0.482114327,1.129569444,0,0.126258176,0.498523594,0.465579758,4,3,4
2025-03-04-PI-algae2,3/4/2025,13:48:00,Antarctic Peninsula,Pléneau Island,-65.09989,-64.05064,17,green,35,518,32421,18.445,0,2418.706599,1919.526873,5084.171074,1799.237832,121.7502696,1535.240943,0,0.017,2.552,0,0.431,0.982,0.762,4,2,4
2025-03-04-PI-algae3,3/4/2025,14:07:00,Antarctic Peninsula,Pléneau Island,-65.09979,-64.04865,11,green,18,518,330387,16.489,489.5803937,6410.052203,5825.713945,10015.79501,5310.044899,482.5115665,4166.952495,0.469,0.017,1.611,0,0.994,11.314,0.875,4,4,4
2025-03-04-PI-algae4,3/4/2025,14:24:00,Antarctic Peninsula,Pléneau Island,-65.09989,-64.04892,13,clean,60,518,83174,14.891,0,5.397538,25.77299924,39.01422052,1.154905746,4.562434397,20.77699733,0,0.496,1.62,0,0.135,0.623,0.518,4,3,4
2025-03-04-PI-algae5,3/4/2025,14:35:00,Antarctic Peninsula,Pléneau Island,-65.09994,-64.04897,13,red,60,518,36394,21.894,172.580808,639.2759791,414.3404901,1044.454289,678.4413741,60.22511693,410.4935322,0,0.557,2.418,0,0.136,1.328,0.591,4,3,4
2025-03-04-PI-algae6,3/4/2025,14:45:00,Antarctic Peninsula,Pléneau Island,-65.10005,-64.04859,12,green,65,518,259233,18.335,241.3494527,1701.532269,1588.811871,3207.114833,764.5173041,104.9259858,1336.129392,0.442,0.152,1.456,0,1.55,37.61,0.738,4,3,4
2025-03-05-DP-algae1,3/5/2025,13:33:00,Antarctic Peninsula,Damoy Point,-64.81596,-63.5044,,red,65,442,104788,23.672,29.82639164,153.7880957,111.2191982,226.8053553,287.8691084,16.58603956,94.1689439,0,0.495739972,1.541315576,0,0.13161399,0,0.532981686,4,4,1
2025-03-05-DP-algae2,3/5/2025,13:45:00,Antarctic Peninsula,Damoy Point,-64.81531,-63.50457,,green,25,442,694712,23.382,995.3874263,14925.83389,11199.97455,25480.65474,13255.01223,868.9581537,7211.1821,0.528234296,0.017030447,1.776993775,0.120572791,0.144430737,10.99386026,0.723206075,4,2,3
2025-03-05-DP-algae3,3/5/2025,13:56:00,Antarctic Peninsula,Damoy Point,-64.81522,-63.50466,,green,35,442,216308,20.835,46.01684615,3755.930047,4193.414257,6680.171817,2464.678136,168.2802278,2421.739601,0.402105396,0.943067027,1.701888899,0,0.137899973,22.18298836,0.970545732,4,1,4
2025-03-05-DP-algae4,3/5/2025,14:00:00,Antarctic Peninsula,Damoy Point,-64.8151,-63.50459,,red,15,442,550450,24.377,591.2751504,4969.683271,4748.602541,11542.95129,7658.683149,393.1762903,3860.579204,0.640128209,0.017030447,3.102724526,0,0.243116751,20.08512987,0.972266744,4,1,4
2025-03-05-DP-algae5,3/5/2025,14:12:00,Antarctic Peninsula,Damoy Point,-64.81534,-63.50828,,clean,,442,236,0,0,0,0,2.178243315,1.295255444,1.015722056,6.950058787,0,0.505629035,1.221234607,0,0.134796146,1.081058999,0.521473239,4,1,1
2025-03-05-DP-algae6,3/5/2025,14:23:00,Antarctic Peninsula,Damoy Point,-64.81485,-63.50871,,green,,442,57318,18.24,4.548733556,3351.22692,3061.287326,6872.712419,3193.397215,244.9873522,2440.962515,0.305275635,0,1.096550447,0,1.433521192,18.8142178,1.121743358,4,1,1
2025-03-05-DP-algae7,3/5/2025,14:33:00,Antarctic Peninsula,Damoy Point,-64.81666,-63.50599,,red,,442,230785,15.366,118.279833,112.307263,204.1432294,477.666849,200.4712469,23.01674959,178.4344593,0,0,1.635980921,0.071944266,0,0,0.591279869,1,1,1
2025-03-06-OH-algae1,3/6/2025,13:37:00,Antarctic Peninsula,Orne Harbour,-64.63179,-62.55252,,green,,917,82483,14.457,0,1913.636865,2287.448318,4562.851297,2117.3952,95.69011822,1674.527972,0.082948735,0.736378078,6.36025875,0.832424933,1.678417391,4.436336722,1.369716938,4,3,3
2025-03-06-OH-algae2,3/6/2025,13:47:00,Antarctic Peninsula,Orne Harbour,-64.6318,-62.55257,,red,,917,110191,17.586,20.44107481,1765.714753,1761.375753,3541.724595,2535.171256,107.1559917,1267.781239,0,0.561123636,10.91811049,0,5.731075201,3.542553089,2.387607815,4,3,3
2025-03-06-OH-algae3,3/6/2025,14:00:00,Antarctic Peninsula,Orne Harbour,-64.63178,-62.55273,,red,,478,90227,15.086,27.75225067,789.330479,717.9466739,1334.539236,778.2560478,53.03232473,580.6461699,0,0,2.258504525,0,0,3.961019924,0.665019297,2,2,2
2025-03-06-OH-algae4,3/6/2025,14:13:00,Antarctic Peninsula,Orne Harbour,-64.63155,-62.55252,,green,30,478,72299,13.755,0,1029.52794,1531.214863,2674.176552,1059.853359,84.03049457,1026.772198,0.071,1.014,3.302,0,0.809,1.241,1.076,2,4,4
2025-03-06-OH-algae5,3/6/2025,14:20:00,Antarctic Peninsula,Orne Harbour,-64.63155,-62.55241,,clean,80,478,1448,15.688,0,0,1.056738519,16.23225029,14.53879151,2.62310349,13.79108078,0,0,6.638,0,0.114,0.142,1.01,2,4,4
2025-03-07-NH-algae1,3/7/2025,13:54:00,Antarctic Peninsula,Neko Harbour,-64.84492,-62.52719,42,green,,384,8215,13.768,0.620339155,25.12668835,41.78179994,95.94052216,57.91860737,7.292029798,51.81298505,,,13.584,0,0.576,18.533,7.589,4,1,3
2025-03-07-NH-algae2,3/7/2025,14:40:00,Antarctic Peninsula,Neko Harbour,-64.84514,-62.5301,11,clean,,384,51,0,0,0,0,1.37765608,0,0.939650234,6.978167943,0,0.296,1.547,0.04,0.094,1.246,0.602,4,1,1
2025-03-07-NH-algae3,3/7/2025,14:58:00,Antarctic Peninsula,Neko Harbour,-64.84514,-62.53061,6,clean,,384,17,0,0,0,0,0.068736337,0,0.902098913,5.408789464,0.217,1.631,29.802,0,0.158,27.154,15.588,4,3,1
2025-03-14-PNI-algae1,3/14/2025,12:47:00,Antarctic Peninsula,Pléneau Island,-65.10127,-64.05016,27,green,13,590,387436,17.382,45.37807267,1530.383161,2356.007816,4296.946062,5302.506489,403.0318782,2035.79184,0.021798523,0.026245037,1.185671077,0,0.68582494,7.128653051,0.894416219,4,1,4
2025-03-14-PNI-algae2,3/14/2025,12:59:00,Antarctic Peninsula,Pléneau Island,-65.10121,-64.04994,16,green,10,590,439855,15.761,110.0973804,1957.064548,3620.321396,7983.873684,6549.553294,573.6540031,3485.266642,,0.226713685,0.881855965,0.102438903,0.59474089,7.593703062,0.875702022,4,1,3
2025-03-14-PNI-algae3,3/14/2025,13:24:00,Antarctic Peninsula,Pléneau Island,-65.10115,-64.05106,28,green,29,590,68890,25.158,10.80764178,689.2668322,861.5149463,1257.71624,1559.701036,97.9420196,696.9347107,0,0.110986146,1.023808441,0,0.20904835,3.610145711,0.501692248,4,1,2
2025-03-14-PNI-algae4,3/14/2025,13:28:00,Antarctic Peninsula,Pléneau Island,-65.10096,-64.05178,27,green,44,590,24785,15.079,13.89015933,228.5909751,405.7131141,486.2609427,333.6022075,43.48266943,270.5818478,,0.280955434,1.621288206,0,0.326261461,2.916639701,0.503900332,4,1,1
2025-03-14-PNI-algae5,3/14/2025,13:58:00,Antarctic Peninsula,Pléneau Island,-65.10034,-64.04878,9,green,15,590,1604638,16.796,242.5447947,1023.84544,1679.615257,3041.845757,1519.111913,266.3622327,1280.581022,0.048391147,0.231974028,0.584499493,0.3336608,0.312490338,9.161707389,0.670241175,4,2,2
2025-03-14-PNI-algae6,3/14/2025,14:13:00,Antarctic Peninsula,Pléneau Island,-65.10027,-64.04906,-5,clean,23,590,2054,15.702,0,0,0,5.809318667,0,1.893026667,9.658877733,0,0.095,1.37,0,0.141,0.469,0.584,4,2,2
2025-03-14-PNI-algae7,3/14/2025,14:25:00,Antarctic Peninsula,Pléneau Island,-65.10021,-64.04852,-12,green,,590,33633,15.506,0,110.5484031,268.9161231,413.4143878,728.37687,22.28768355,239.8232933,,0.167,1.348,0.348,0.184,3.302,0.617,4,2,1
2025-03-14-PNI-algae8,3/14/2025,14:33:00,Antarctic Peninsula,Pléneau Island,-65.09995,-64.04896,9,red,20,590,106791,23.886,226.841554,356.7119966,575.5553659,896.8552939,1777.558708,149,501.5413718,0,0,1.593,0,0.247,1.588,0.74,3,2,4
2025-03-15-DP-algae1,3/15/2025,13:25:00,Antarctic Peninsula,Damoy Point,-64.81759,-63.50373,24,red,,508,36840,13.883,43.16610625,118.7587708,225.5723635,413.2272968,1321.905529,38.12862325,223.0063698,0,0.19732307,1.263514215,0,0.135862004,0.790927927,0.58593483,3,2,4
2025-03-15-DP-algae2,3/15/2025,13:40:00,Antarctic Peninsula,Damoy Point,-64.81727,-63.30544,12,red,10,508,33381,15.666,2.463147677,0,71.3500581,106.1870144,422.3126647,14.31656036,60.21396879,0,0.048705106,3.176856204,0,0.154047101,0,0.641108238,2,1,4
2025-03-15-DP-algae3,3/15/2025,13:58:00,Antarctic Peninsula,Damoy Point,-64.8172,-63.50681,15,green,,508,14477,14.049,19.12053724,141.5495199,312.1034175,516.7575863,491.3435566,46.85036893,254.4553427,0,0.162607749,1.203091187,0,0.302476423,0.577799226,0.545388782,2,1,1
2025-03-15-DP-algae4,3/15/2025,14:05:00,Antarctic Peninsula,Damoy Point,-64.81717,-63.50692,11,clean,,508,67,0,0,0,0,0,0,1.005660268,9.592060929,0,0.261114445,0.633668534,0.117070315,0.270119208,0.298945569,0.551928864,1,1,1
2025-03-15-DP-algae5,3/15/2025,14:17:00,Antarctic Peninsula,Damoy Point,-64.81726,-63.50746,13,red,,508,14140,13.309,18.62631867,0,54.109504,92.53550013,227.1660348,3.017090133,48.99900267,0,0,0.846,0.124,0.309,0,0.531,1,1,1
2025-03-15-DP-algae6,3/15/2025,14:23:00,Antarctic Peninsula,Damoy Point,-64.81674,-63.50619,17,red,,508,5538,16.961,0,67.40894118,244.8752766,347.9832487,514.9423909,22.85905848,180.6167513,0,0.3,2.659,0,0.778,0.634,0.875,2,2,1
2025-03-15-DP-algae7,3/15/2025,14:33:00,Antarctic Peninsula,Damoy Point,-64.81668,-63.50583,5,green,,508,54119,18.675,21.81558844,1422.698036,3674.817548,6221.834772,8105.757873,305.5856406,2854.184069,0,0.792,3.073,0,0.323,3.338,0.986,2,2,1
2025-03-15-DP-algae8,3/15/2025,15:08:00,Antarctic Peninsula,Damoy Point,-64.81481,-63.50442,10,red,,508,115429,16.828,94.82136514,459.7991885,678.5695742,1068.627951,2021.751267,120.403572,550.6136964,0,0.349,1.353,0,0.254,1.041,0.52,3,3,2
2025-03-15-DP-algae9,3/15/2025,15:16:00,Antarctic Peninsula,Damoy Point,-64.8149,-63.50391,8,red,,508,53732,20.533,7.594535067,46.91008573,113.7943376,148.6694083,500.7327707,17.03056107,93.47913213,0,0.394,4.755,0,0.325,1.1,0.938,4,3,2
2025-03-15-DP-algae10,3/15/2025,15:20:00,Antarctic Peninsula,Damoy Point,-64.81508,-63.50348,5,red,,508,195832,16.749,147.9623663,415.3477608,553.588623,838.3888821,3220.666878,112.4509809,567.2604947,0,0.655,3.094,0,0.402,1.177,0.712,3,2,1
2025-03-16-NH-algae1,3/16/2025,13:30:00,Antarctic Peninsula,Neko Harbour,-64.84504,-62.52899,33,red,,562,43396,30.986,,,,,,,,0.230636528,0.282045688,2.139655694,0,0.259714071,7.159919001,1.74015426,4,1,1
2025-03-16-NH-algae2,3/16/2025,13:47:00,Antarctic Peninsula,Neko Harbour,-64.84496,-62.52764,47,red,,562,55510,21.276,,,,,,,,0,0.580555199,1.347720777,0,0.251712244,2.926320632,1.247001388,4,1,1
2025-03-16-NH-algae3,3/16/2025,14:01:00,Antarctic Peninsula,Neko Harbour,-64.84508,-62.52747,47,red,,562,20402,16.533,,,,,,,,0,0.616389572,0.908979839,0,0.346150376,0.949691293,0.781887965,3,1,1
2025-03-16-NH-algae4,3/16/2025,14:20:00,Antarctic Peninsula,Neko Harbour,-64.8448,-62.52658,45,clean,,562,67,0,,,,,,,,0,0.576675459,0.785669363,0,0.249124771,0,0.590278921,1,1,1